month_year,time_period,demand
Jan 2001,1,5119
Feb 2001,2,5157
Mar 2001,3,5384
Apr 2001,4,5523
May 2001,5,5646
Jun 2001,6,5447
Jul 2001,7,5281
Aug 2001,8,5313
Sep 2001,9,5364
Oct 2001,10,5460
Nov 2001,11,5319
Dec 2001,12,5305
Jan 2002,13,5212
Feb 2002,14,5056
Mar 2002,15,5424
Apr 2002,16,5589
May 2002,17,5823
Jun 2002,18,5750
Jul 2002,19,5652
Aug 2002,20,5604
Sep 2002,21,5559
Oct 2002,22,5687
Nov 2002,23,5712
Dec 2002,24,5707
Jan 2003,25,5282
Feb 2003,26,5345
Mar 2003,27,5705
Apr 2003,28,6149
May 2003,29,6109
Jun 2003,30,5831
Jul 2003,31,5856
Aug 2003,32,5813
Sep 2003,33,5885
Oct 2003,34,5878
Nov 2003,35,5957
Dec 2003,36,5904
Jan 2004,37,5511
Feb 2004,38,5701
Mar 2004,39,6065
Apr 2004,40,6218
May 2004,41,6323
Jun 2004,42,5978
Jul 2004,43,6061
Aug 2004,44,5906
Sep 2004,45,6097
Oct 2004,46,5916
Nov 2004,47,5987
Dec 2004,48,5900
Jan 2005,49,5471
Feb 2005,50,5853
Mar 2005,51,6210
Apr 2005,52,6266
May 2005,53,6443
Jun 2005,54,6348
Jul 2005,55,6039
Aug 2005,56,6107
Sep 2005,57,5998
Oct 2005,58,5843
Nov 2005,59,5889
Dec 2005,60,5910
Jan 2006,61,5619
Feb 2006,62,5776
Mar 2006,63,6186
Apr 2006,64,6222
May 2006,65,6466
Jun 2006,66,6339
Jul 2006,67,6221
Aug 2006,68,6094
Sep 2006,69,6195
Oct 2006,70,5845
Nov 2006,71,5974
Dec 2006,72,5813
Jan 2007,73,5819
Feb 2007,74,6115
Mar 2007,75,6157
Apr 2007,76,6581
May 2007,77,6643
Jun 2007,78,6619
Jul 2007,79,6464
Aug 2007,80,6369
Sep 2007,81,6416
Oct 2007,82,6155
Nov 2007,83,6137
Dec 2007,84,6195.05
Jan 2008,85,5972.25
Feb 2008,86,6093.73
Mar 2008,87,6211.11
Apr 2008,88,6663
May 2008,89,6484.71
Jun 2008,90,6674.47
Jul 2008,91,6559
Aug 2008,92,6402.95
Sep 2008,93,6495.58
Oct 2008,94,6627.4
Nov 2008,95,6492.02
Dec 2008,96,6376.46
Jan 2009,97,6117.6
Feb 2009,98,6451.96
Mar 2009,99,6642
Apr 2009,100,6845
May 2009,101,6829
Jun 2009,102,6928
Jul 2009,103,6848
Aug 2009,104,6863
Sep 2009,105,6873
Oct 2009,106,6530
Nov 2009,107,6662
Dec 2009,108,6575
Jan 2010,109,6407
Feb 2010,110,6878
Mar 2010,111,7057
Apr 2010,112,7305
May 2010,113,7656
Jun 2010,114,7646
Jul 2010,115,7240
Aug 2010,116,7009
Sep 2010,117,7057
Oct 2010,118,7074
Nov 2010,119,6851
Dec 2010,120,6946
Jan 2011,121,6594
Feb 2011,122,6877
Mar 2011,123,7006
Apr 2011,124,7056
May 2011,125,7538
Jun 2011,126,7552
Jul 2011,127,7438
Aug 2011,128,7200
Sep 2011,129,7107
Oct 2011,130,7255
Nov 2011,131,7223
Dec 2011,132,7178
Jan 2012,133,7027
Feb 2012,134,7162
Mar 2012,135,7503
Apr 2012,136,7885
May 2012,137,7889
Jun 2012,138,7709
Jul 2012,139,7574
Aug 2012,140,7242
Sep 2012,141,7293
Oct 2012,142,7421
Nov 2012,143,7425
Dec 2012,144,7395
Jan 2013,145,7079
Feb 2013,146,7214
Mar 2013,147,7720
Apr 2013,148,8178
May 2013,149,8305
Jun 2013,150,8208
Jul 2013,151,8030
Aug 2013,152,7755
Sep 2013,153,7966
Oct 2013,154,7564
Nov 2013,155,7488
Dec 2013,156,7670
Jan 2014,157,7121
Feb 2014,158,7545
Mar 2014,159,7655
Apr 2014,160,8267
May 2014,161,8717
Jun 2014,162,8607
Jul 2014,163,8265
Aug 2014,164,8230
Sep 2014,165,8005
Oct 2014,166,7993
Nov 2014,167,8033
Dec 2014,168,7996
Jan 2015,169,7315
Feb 2015,170,7610
Mar 2015,171,7878
Apr 2015,172,8727
May 2015,173,8928
Jun 2015,174,8881
Jul 2015,175,8826
Aug 2015,176,8889
Sep 2015,177,8738
Oct 2015,178,8624
Nov 2015,179,8498
Dec 2015,180,8487
Jan 2016,181,8175
Feb 2016,182,8229
Mar 2016,183,8806
Apr 2016,184,9586
May 2016,185,9726
Jun 2016,186,9507
Jul 2016,187,9339
Aug 2016,188,9379
Sep 2016,189,9082
Oct 2016,190,9005
Nov 2016,191,8900
Dec 2016,192,8774
Jan 2017,193,8249
Feb 2017,194,8668
Mar 2017,195,9459
Apr 2017,196,9831
May 2017,197,10054
Jun 2017,198,10000
Jul 2017,199,9588
Aug 2017,200,9957
Sep 2017,201,9806
Oct 2017,202,9483
Nov 2017,203,9590
Dec 2017,204,9441
Jan 2018,205,9213
Feb 2018,206,9579
Mar 2018,207,9936
Apr 2018,208,10539
May 2018,209,10750
Jun 2018,210,10876
Jul 2018,211,9996
Aug 2018,212,9843
Sep 2018,213,10035
Oct 2018,214,10346
Nov 2018,215,10088
Dec 2018,216,9987
Jan 2019,217,9123
Feb 2019,218,9309
Mar 2019,219,10180
Apr 2019,220,10957
May 2019,221,11245
Jun 2019,222,11344
Jul 2019,223,10997
Aug 2019,224,10687
Sep 2019,225,10392
Oct 2019,226,10845
Nov 2019,227,10413
Dec 2019,228,10111
Jan 2020,229,9713
Feb 2020,230,9889
Mar 2020,231,11103
Apr 2020,232,8377
May 2020,233,9639
Jun 2020,234,10642
Jul 2020,235,10595
Aug 2020,236,10422
Sep 2020,237,10570
Oct 2020,238,10344
Nov 2020,239,9886
Dec 2020,240,9634
